word,n
poland,160
america,135
france,127
germany,116
canada,100
britain,81
italy,78
türkiye,62
norway,61
denmark,60
lithuania,58
israel,56
estonia,51
slovakia,50
latvia,49
finland,47
japan,46
sweden,46
switzerland,46
georgia,41
australia,40
romania,35
spain,35
austria,33
greece,33
belarus,30
ethiopia,29
ireland,28
belgium,26
indonesia,26
croatia,23
india,23
portugal,21
china,19
slovenia,19
bulgaria,18
iceland,18
egypt,17
somalia,16
yemen,16
hungary,14
luxembourg,14
cyprus,12
albania,11
kazakhstan,11
libya,11
qatar,10
sudan,10
afghanistan,9
algeria,9
chile,9
brazil,8
kenya,8
lebanon,8
mexico,8
bangladesh,7
montenegro,6
malta,5
morocco,5
tunisia,5
azerbaijan,4
bahrain,4
congo,4
ecuador,4
guatemala,4
iraq,4
cambodia,3
paraguay,3
senegal,3
singapore,3
uruguay,3
antarctica,2
colombia,2
comoros,2
eritrea,2
ghana,2
guinea,2
jordan,2
kyrgyzstan,2
monaco,2
mozambique,2
nicaragua,2
nigeria,2
oman,2
pakistan,2
uganda,2
argentina,1
botswana,1
cuba,1
djibouti,1
england,1
jersey,1
kuwait,1
liberia,1
liechtenstein,1
malawi,1
mali,1
niger,1
philippines,1
rwanda,1
serbia,1
tajikistan,1
turkmenistan,1
zambia,1
